,bu_code,bu_naam,gemeente,provincie,netbeheerder,NAL_regio,RES_regio,Jaar,aantal_personenautos,aantal_evs_L,thuislaadpunten_L,werklaadpunten_L,publiekelaadpunten_L,bestemmingslaadpunten_L,laadpunten_parkeergarages_L,laadpunten_parkeerpleinen_L,snellaadpunten_L,vermogen_snellaadpunten_L,aantal_evs_M,thuislaadpunten_M,werklaadpunten_M,publiekelaadpunten_M,bestemmingslaadpunten_M,laadpunten_parkeergarages_M,laadpunten_parkeerpleinen_M,snellaadpunten_M,vermogen_snellaadpunten_M,aantal_evs_H,thuislaadpunten_H,werklaadpunten_H,publiekelaadpunten_H,bestemmingslaadpunten_H,laadpunten_parkeergarages_H,laadpunten_parkeerpleinen_H,snellaadpunten_H,vermogen_snellaadpunten_H,datum_bijgewerkt
12129,BU00500001,Eerste woonwijk,Zeewolde,Flevoland,Liander,Noordwest,Flevoland,2028,2141.524343,251.0146507,72.44390479,23.00480504,65.24166268,7.596779324,0.0,14.0,0.930434702,76.44724076,299.1748275,73.42312406,25.95862731,74.15576675,8.55776926,0.0,14.0,1.043061976,85.70102753,355.3674991,74.56566443,24.63420755,84.68318218,9.710793622,0.0,14.0,1.179150297,96.88244265,2024-02-28
12130,BU00500001,Eerste woonwijk,Zeewolde,Flevoland,Liander,Noordwest,Flevoland,2029,2132.44417,292.7531278,73.37319121,25.54116793,73.08550884,8.467677746,0.0,14.0,1.03788905,85.27600482,361.4252633,74.78838616,29.75025221,85.44272745,9.811210462,0.0,14.0,1.196315316,98.29277087,444.5362967,76.50113783,28.0502378,100.471222,11.47104195,0.0,14.0,1.393139383,114.4644128,2024-02-28
12131,BU00500001,Eerste woonwijk,Zeewolde,Flevoland,Liander,Noordwest,Flevoland,2030,2120.55453,339.6234129,74.45530739,28.39403325,81.55862542,9.428151696,0.0,14.0,1.156296982,95.00474737,434.327811,76.43938136,34.23767328,98.12966912,11.24933135,0.0,14.0,1.372117748,112.7372137,553.1008575,78.92769779,32.0978187,118.8687723,13.56731298,0.0,14.0,1.648021635,135.4062853,2024-02-28
12132,BU00500001,Eerste woonwijk,Zeewolde,Flevoland,Liander,Noordwest,Flevoland,2031,2110.118939,392.4614735,75.70894869,31.51999774,90.78553815,10.47872219,0.0,14.0,1.287000126,105.7437005,519.8793478,78.42599565,39.49230895,112.4701396,12.88899215,0.0,14.0,1.574087105,129.3316077,691.2249538,82.0797535,36.83736381,141.5899542,16.19509255,0.0,14.0,1.96950458,161.8202658,2024-02-28
12133,BU00500001,Eerste woonwijk,Zeewolde,Flevoland,Liander,Noordwest,Flevoland,2032,2101.664211,452.6426564,77.17759514,35.12586674,100.9906591,11.64300857,0.0,14.0,1.431689974,117.6318423,620.9609301,80.83572154,45.88987827,128.8562853,14.77840376,0.0,14.0,1.806731212,148.4463291,826.3959345,85.30052026,42.61202982,161.6871102,18.54527864,0.0,14.0,2.257563874,185.4880613,2024-02-28
12134,BU00500001,Eerste woonwijk,Zeewolde,Flevoland,Liander,Noordwest,Flevoland,2033,2095.074957,520.6608192,78.88850515,39.30858776,112.1773196,12.92164361,0.0,14.0,1.592022689,130.8052479,737.3876303,83.69555229,53.53623858,147.006568,16.89161433,0.0,14.0,2.068936232,169.9898617,958.0075054,88.58894843,49.51095748,179.3793243,20.6402437,0.0,14.0,2.517221594,206.8223002,2024-02-28
12135,BU00500001,Eerste woonwijk,Zeewolde,Flevoland,Liander,Noordwest,Flevoland,2034,2097.653777,600.063937,80.85994861,44.16394642,125.0012069,14.34356602,0.0,14.0,1.770090138,145.4357911,854.9220203,86.60205904,60.99017507,164.0080566,18.81871344,0.0,14.0,2.308607407,189.6819475,1091.05808,91.92235069,56.19808988,195.8833223,22.53708669,0.0,14.0,2.752887489,226.1853005,2024-02-28
12136,BU00500001,Eerste woonwijk,Zeewolde,Flevoland,Liander,Noordwest,Flevoland,2035,2099.807814,689.4937988,83.11799689,49.83306173,139.0207492,15.91815648,0.0,14.0,1.967963192,161.6936209,970.1880773,89.5411948,68.27771822,179.3488955,20.57480926,0.0,14.0,2.528548978,207.7529913,1228.533564,95.45297967,62.70402694,211.8389507,24.25256273,0.0,14.0,2.967774934,243.8410825,2024-02-28
12137,BU00500001,Eerste woonwijk,Zeewolde,Flevoland,Liander,Noordwest,Flevoland,2036,2101.520254,788.0429399,85.6545025,56.29279714,153.9457148,17.61711778,0.0,14.0,2.181157758,179.210311,1083.534945,92.5218297,75.53666281,193.2645068,22.19217286,0.0,14.0,2.731255182,224.4079268,1380.294225,99.41860879,69.16019128,228.9422977,25.82369946,0.0,14.0,3.164692164,260.020379,2024-02-28
12138,BU00500001,Eerste woonwijk,Zeewolde,Flevoland,Liander,Noordwest,Flevoland,2037,2097.924455,882.7662349,88.22212352,62.66389486,167.231272,19.19054675,0.0,14.0,2.379746968,195.5269822,1196.4615,95.64263892,82.9003051,206.1457054,23.67683383,0.0,14.0,2.918660721,239.8057149,1584.936022,104.8320705,75.69158292,253.2181235,27.25662479,0.0,14.0,3.345796762,274.9004633,2024-02-28
